pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Netherlands-AJ,Spanish-North,3.308,4,10,0.394,43.05,-3.35,Europe,Spain
Brahmin,Ukraine-AJ,1.671,3,38,0.185,50.43,30.52,Europe,Ukraine
Afar,Tuscan,0.351,5,15,0.121,43.36,11.12,Europe,Italy
Algerian,Latvia-AJ,1.591,4,7,0.44,56.95,24.1,Europe,Latvia
Brahmin,Chechen,1.227,3,9,0.318,43.33,45.65,Europe,Russia
Cossack,Romania-AJ,3.991,4,23,0.397,44.43,26.1,Europe,Romania
Eritrean,Netherlands-AJ,0.295,3,4,0.295,52.35,4.92,Europe,Netherlands
Libyan,Spanish-Balearic,1.484,5,29,0.169,39.33,2.37,Europe,Spain
English-Southeast,Chechen,3.343,5,9,0.417,43.33,45.65,Europe,Russia
Jew-Cochin,Kazakh-West,0.725,5,13,0.204,51.8,67.16,Asia,Kazakhstan
English-Southeast,Ukraine-AJ,3.498,5,38,0.214,50.43,30.52,Europe,Ukraine
Basque-Spain,Belarusian,4.171,6,14,0.357,53.64,27.47,Europe,Belarus
Libyan,Russian-Northwest,1.069,5,9,0.275,57.59,28.73,Europe,Russia
French-Southeast,Roman-Iberia,2.445,5,28,0.245,40.67,-3.14,Europe,Spain
Austria-AJ,Darginian,1.14,3,8,0.358,42.18,47.22,Europe,Russia
Shaigi,Czechia-AJ,1.404,3,13,0.3,50.08,14.47,Europe,Czechia
Scot,Jordanian,1.461,4,11,0.315,32.03,35.91,Asia,Jordan
Kyrgyz-South,Ukraine-AJ,1.026,6,38,0.115,50.43,30.52,Europe,Ukraine
Jew-Iberian,Jew-Iraqi,0.929,3,6,0.336,33.33,44.42,Asia,Iraq
Sicilian-East,Tuscan,2.312,6,15,0.238,43.36,11.12,Europe,Italy
French-Southwest,Turk-Northwest,1.359,6,18,0.221,40.4,28.56,Asia,Turkey
Afar,Mansi,0.132,5,5,0.132,61.24,66.48,Asia,Russia
Kryashen,Jordanian,0.988,3,11,0.264,32.03,35.91,Asia,Jordan
Jew-Iraqi,Spanish-North,0.805,6,10,0.183,43.05,-3.35,Europe,Spain
Kyrgyz-South,Chechen,1.282,6,9,0.251,43.33,45.65,Europe,Russia
French-Southwest,Latvia-AJ,1.84,6,7,0.411,56.95,24.1,Europe,Latvia
Austria-AJ,Jew-Bulgarian,34.999,3,26,1.982,42.68,23.32,Europe,Bulgaria
