pop1,pop2,mean_pairwise_IBD_length,pop1_size,pop2_size,IBD_len_SE,lat,long,continent,country
Cossack,Jew-Turkish,1.936,4,8,0.382,41.02,28.95,Europe,Turkey
English-Southwest,Lithuanian,6.179,5,13,0.499,55,23.93,Europe,Lithuania
Spanish-Northwest,Druze,0.935,5,30,0.127,32.05,35.02,Asia,Israel
Eritrean,Udmurt,0.196,3,14,0.114,56.43,52.66,Europe,Russia
Algerian,Egyptian,1.339,4,18,0.208,30.69,31.28,Africa,Egypt
Mansi,Basque-France,1.878,5,14,0.294,43,0,Europe,France
Algerian,Jew-Georgian,0.889,4,7,0.275,41.72,44.78,Asia,Georgia
French-Southeast,Turk-Northeast,1.438,5,9,0.261,41,39.73,Asia,Turkey
Afar,Slovenian,0.333,5,15,0.106,46.15,15,Europe,Slovenia
Spanish-Northwest,Latvian,3.444,5,9,0.453,56.91,24.1,Europe,Latvia
Netherlands-AJ,French-Northeast,2.991,4,10,0.466,48.76,6.13,Europe,France
Jew-Iberian,Gujarati,0.589,3,17,0.187,23.2,72.7,Asia,India
Brahmin,Russia-AJ,1.361,3,39,0.175,55.75,37.62,Europe,Russia
Brahmin,Kurd,1.198,3,10,0.377,43.8,40.4,Asia,Russia
Libyan,Druze,1.83,5,30,0.187,32.05,35.02,Asia,Israel
Cossack,BedouinA,0.968,4,23,0.197,31,35,Asia,Israel
Eritrean,Afar,3.817,3,5,1.142,11.8,41.4,Africa,Ethiopia
Jew-Cochin,Lithuanian,1.152,5,13,0.189,55,23.93,Europe,Lithuania
English-Southeast,Kurd,1.971,5,10,0.351,43.8,40.4,Asia,Russia
Shaigi,Lezgin,0.641,3,13,0.213,42.05,48.1,Europe,Russia
Austria-AJ,Jew-Kurdish,2.127,3,8,0.734,36.34,43.15,Asia,Iraq
Libyan,Latvian,1.717,5,9,0.31,56.91,24.1,Europe,Latvia
French-Southeast,Yemenite-Highlands,1.064,5,29,0.142,14.34,44.68,Asia,Yemen
English-Southeast,Russia-AJ,3.166,5,39,0.207,55.75,37.62,Europe,Russia
Jew-Iberian,French-Southwest,2.846,3,6,0.684,43.5,-0.72,Europe,France
Scot,Finn,7.923,4,11,0.608,60.39,24.49,Europe,Finland
Afar,Spanish-Northwest,0.303,5,5,0.167,42.5,-8.1,Europe,Spain
Sicilian-East,Slovenian,2.659,6,15,0.262,46.15,15,Europe,Slovenia
French-Southwest,Egyptian,0.75,6,18,0.13,30.69,31.28,Africa,Egypt
Kyrgyz-South,Russia-AJ,1.118,6,39,0.113,55.75,37.62,Europe,Russia
Kryashen,Finn,12.637,3,11,1.428,60.39,24.49,Europe,Finland
Basque-Spain,Basque-France,66.809,6,14,1.912,43,0,Europe,France
Jew-Iraqi,French-Northeast,1.322,6,10,0.228,48.76,6.13,Europe,France
Kyrgyz-South,Kurd,0.869,6,10,0.193,43.8,40.4,Asia,Russia
French-Southwest,Jew-Georgian,0.972,6,7,0.233,41.72,44.78,Asia,Georgia
Austria-AJ,Hungary-AJ,95.006,3,26,4.204,47.5,19.08,Europe,Hungary
Cossack,Syrian,0.873,4,8,0.291,35.13,36.87,Asia,Syria
English-Southwest,Balkar,2.26,5,13,0.391,43.5,43.61,Europe,Russia
Spanish-Northwest,Adygei,1.419,5,31,0.163,44.39,39.31,Europe,Russia
Algerian,Assyrian-Caucasus,0.836,4,7,0.252,40.21,44.34,Asia,Armenia
Eritrean,Belarus-AJ,0.782,3,14,0.231,53.9,27.57,Europe,Belarus
Algerian,Komi,0.834,4,18,0.157,61.87,51.43,Europe,Russia
Mansi,Croat,4.406,5,14,0.563,43.63,16.84,Europe,Croatia
Afar,Slovakian,0.312,5,15,0.106,48.67,19.7,Europe,Slovakia
Spanish-Northwest,Gagauz,1.406,5,9,0.275,45.54,28.38,Europe,Moldova
French-Southeast,Russian-Northwest,4.842,5,9,0.519,57.59,28.73,Europe,Russia
Brahmin,Bashkir,1.555,3,56,0.157,54.32,56.12,Europe,Russia
Jew-Iberian,Pashtun,0.654,3,17,0.174,33.49,70.5,Asia,Pakistan
Netherlands-AJ,French-Northwest,3.117,4,10,0.64,48.25,-3.24,Europe,France
Brahmin,Avar,1.35,3,10,0.315,41.93,47.33,Europe,Russia
Jew-Cochin,Balkar,1.413,5,13,0.263,43.5,43.61,Europe,Russia
Libyan,Adygei,1.354,5,31,0.176,44.39,39.31,Europe,Russia
Libyan,Gagauz,1.12,5,9,0.27,45.54,28.38,Europe,Moldova
English-Southeast,Avar,2.66,5,10,0.418,41.93,47.33,Europe,Russia
Shaigi,Kazakh-East,0.347,3,13,0.153,44,87.46,Asia,Kazakhstan
Eritrean,English-Southeast,1.127,3,5,0.428,51.19,0.73,Europe,United Kingdom
Austria-AJ,Jew-Iranian,2.283,3,9,0.401,35.7,51.42,Asia,Iran
Cossack,Nogai,3.668,4,25,0.352,44.82,43.22,Europe,Russia
French-Southeast,Spanish-Balearic,3.718,5,29,0.249,39.33,2.37,Europe,Spain
Afar,English-Southwest,0.135,5,5,0.135,50.3,-4.9,Europe,United Kingdom
Jew-Iberian,Jew-Moroccan,18.778,3,6,3.91,34.02,-6.84,Africa,Morocco
English-Southeast,Bashkir,3.202,5,56,0.19,54.32,56.12,Europe,Russia
Scot,Jew-Italian,3.517,4,11,0.572,41.9,12.48,Europe,Italy
French-Southwest,Komi,3.045,6,18,0.298,61.87,51.43,Europe,Russia
Sicilian-East,Slovakian,3.122,6,15,0.302,48.67,19.7,Europe,Slovakia
Kyrgyz-South,Bashkir,3.785,6,56,0.192,54.32,56.12,Europe,Russia
Basque-Spain,Croat,4.153,6,14,0.374,43.63,16.84,Europe,Croatia
Kryashen,Jew-Italian,2.3,3,11,0.523,41.9,12.48,Europe,Italy
French-Southwest,Assyrian-Caucasus,1.233,6,7,0.242,40.21,44.34,Asia,Armenia
Jew-Iraqi,French-Northwest,0.862,6,10,0.188,48.25,-3.24,Europe,France
Kyrgyz-South,Avar,1.026,6,10,0.202,41.93,47.33,Europe,Russia
Austria-AJ,Georgian,1.717,3,26,0.324,41.96,42.06,Asia,Turkey
Cossack,Jew-Libyan,1.351,4,8,0.327,32.92,13.18,Africa,Libya
Spanish-Northwest,Tajik,1.215,5,32,0.153,38.41,69.6,Asia,Tajikistan
English-Southwest,Kabardian,2.81,5,13,0.323,43.45,43.37,Europe,Russia
Algerian,Cypriot,0.681,4,7,0.213,35.13,33.43,Europe,Cyprus
Algerian,Azeri,0.855,4,18,0.167,40.97,47.86,Europe,Russia
Mansi,Sicilian-West,1.386,5,14,0.235,38.02,12.52,Europe,Italy
Afar,Corsican,0.405,5,16,0.118,42.04,9.01,Europe,France
Eritrean,Sindhi,0.471,3,14,0.167,25.49,69,Asia,Pakistan
Brahmin,Spanish-Catalonia,1.522,3,57,0.143,41.68,1.66,Europe,Spain
Spanish-Northwest,Bengali,0.859,5,9,0.226,23.51,89.9,Asia,Bangladesh
French-Southeast,Latvian,4.841,5,9,0.736,56.91,24.1,Europe,Latvia
Jew-Iberian,Chuvash,1.829,3,18,0.33,55.33,48.74,Europe,Russia
Netherlands-AJ,Czech,4.592,4,10,0.693,50.1,14.4,Europe,Czechoslovakia
Jew-Cochin,Kabardian,1.122,5,13,0.208,43.45,43.37,Europe,Russia
Brahmin,Turk-South,1.548,3,10,0.373,37,35.32,Asia,Turkey
Shaigi,Kazakh-West,0.26,3,13,0.128,51.8,67.16,Asia,Kazakhstan
English-Southeast,Turk-South,2.331,5,10,0.371,37,35.32,Asia,Turkey
Libyan,Tajik,0.816,5,32,0.119,38.41,69.6,Asia,Tajikistan
Libyan,Bengali,0.277,5,9,0.122,23.51,89.9,Asia,Bangladesh
Eritrean,Mansi,0.89,3,5,0.343,61.24,66.48,Asia,Russia
Austria-AJ,Lak,2.163,3,9,0.49,42.17,47.12,Europe,Russia
Jew-Iberian,Jew-French,7.092,3,7,0.928,48.87,2.33,Europe,France
Afar,French-Southeast,0.246,5,5,0.171,44.01,6.21,Europe,France
French-Southeast,Druze,1.202,5,30,0.157,32.05,35.02,Asia,Israel
English-Southeast,Spanish-Catalonia,4.697,5,57,0.207,41.68,1.66,Europe,Spain
Cossack,Kyrgyz-North,1.957,4,25,0.222,43.12,81.15,Asia,Kyrgyzstan
Scot,Italian-Northwest,4.139,4,11,0.484,45.05,7.52,Europe,Italy
French-Southwest,Azeri,1.437,6,18,0.197,40.97,47.86,Europe,Russia
Kyrgyz-South,Spanish-Catalonia,1.164,6,57,0.101,41.68,1.66,Europe,Spain
Sicilian-East,Corsican,1.998,6,16,0.272,42.04,9.01,Europe,France
Kryashen,Italian-Northwest,2.735,3,11,0.459,45.05,7.52,Europe,Italy
Basque-Spain,Sicilian-West,3.211,6,14,0.394,38.02,12.52,Europe,Italy
French-Southwest,Cypriot,1.1,6,7,0.292,35.13,33.43,Europe,Cyprus
Jew-Iraqi,Czech,1.086,6,10,0.195,50.1,14.4,Europe,Czechoslovakia
Kyrgyz-South,Turk-South,1.05,6,10,0.287,37,35.32,Asia,Turkey
Cossack,Spanish-South,3.269,4,8,0.581,37.7,-3.55,Europe,Spain
Austria-AJ,Germany-AJ,126.976,3,26,4.07,52.52,13.4,Europe,Germany
Spanish-Northwest,Palestinian,0.957,5,33,0.122,32.13,35.04,Asia,Israel
Algerian,Jew-Tunisian,2.066,4,7,0.447,36.8,10.18,Africa,Tunisia
English-Southwest,Belarusian,5.298,5,14,0.419,53.64,27.47,Europe,Belarus
Afar,Greek-South,0.258,5,16,0.1,37.9,23.7,Europe,Greece
Algerian,Armenian,0.949,4,18,0.205,40.2,44.39,Asia,Armenia
Eritrean,Italian-South,0.54,3,15,0.197,41.89,14.49,Europe,Italy
Brahmin,Poland-AJ,1.412,3,57,0.153,52.25,21,Europe,Poland
Jew-Iberian,Ossetian,0.848,3,18,0.209,43.07,44.23,Europe,Russia
Mansi,Udmurt,18.416,5,14,1.104,56.43,52.66,Europe,Russia
Netherlands-AJ,Assyrian-MiddleEast,1.447,4,11,0.327,37.27,44.21,Asia,Turkey
Spanish-Northwest,French-North,3.227,5,9,0.411,50.18,2.37,Europe,France
French-Southeast,Gagauz,2.67,5,9,0.362,45.54,28.38,Europe,Moldova
Libyan,Palestinian,2.455,5,33,0.202,32.13,35.04,Asia,Israel
Jew-Cochin,Belarusian,1.774,5,14,0.223,53.64,27.47,Europe,Belarus
English-Southeast,Karakalpak,2.035,5,10,0.346,42.48,59.61,Asia,Uzbekistan
Libyan,French-North,1.465,5,9,0.339,50.18,2.37,Europe,France
Shaigi,Lithuanian,1.3,3,13,0.377,55,23.93,Europe,Lithuania
Brahmin,Karakalpak,0.732,3,10,0.312,42.48,59.61,Asia,Uzbekistan
Afar,Jew-Cochin,0.339,5,5,0.19,9.97,76.28,Asia,India
Austria-AJ,Punjabi,0.344,3,9,0.195,29.89,74.48,Asia,Pakistan
Eritrean,Spanish-Northwest,0.635,3,5,0.348,42.5,-8.1,Europe,Spain
Cossack,Yemenite-Northwest,1.019,4,26,0.151,15.74,44.45,Asia,Yemen
Jew-Iberian,Jew-Ethiopian,0.0,3,7,0.0,9.03,38.73,Africa,Ethiopia
English-Southeast,Poland-AJ,3.314,5,57,0.178,52.25,21,Europe,Poland
French-Southeast,Adygei,2.127,5,31,0.214,44.39,39.31,Europe,Russia
French-Southwest,Armenian,1.019,6,18,0.155,40.2,44.39,Asia,Armenia
Scot,Ukranian-Central,5.649,4,12,0.498,50.47,30.3,Europe,Ukraine
Kyrgyz-South,Poland-AJ,0.916,6,57,0.08,52.25,21,Europe,Poland
Sicilian-East,Greek-South,1.477,6,16,0.213,37.9,23.7,Europe,Greece
Kryashen,Ukranian-Central,8.54,3,12,0.958,50.47,30.3,Europe,Ukraine
Basque-Spain,Udmurt,3.226,6,14,0.32,56.43,52.66,Europe,Russia
French-Southwest,Jew-Tunisian,1.753,6,7,0.356,36.8,10.18,Africa,Tunisia
Jew-Iraqi,Assyrian-MiddleEast,1.324,6,11,0.23,37.27,44.21,Asia,Turkey
Kyrgyz-South,Karakalpak,4.491,6,10,0.443,42.48,59.61,Asia,Uzbekistan
Cossack,Darginian,1.938,4,8,0.294,42.18,47.22,Europe,Russia
Austria-AJ,Tatar-Volga,1.68,3,26,0.254,54.19,52.71,Europe,Russia
Algerian,general-AJ,0.931,4,7,0.245,52.23,21.02,Europe,Poland
English-Southwest,Basque-France,4.597,5,14,0.447,43,0,Europe,France
Spanish-Northwest,Mordvin,2.629,5,34,0.195,54.49,44.21,Europe,Russia
Algerian,Pole,1.376,4,19,0.214,51.98,19.4,Europe,Poland
Brahmin,Russian-Central,1.908,3,58,0.169,57.19,38.52,Europe,Russia
Afar,Estonian,0.321,5,16,0.103,58.45,25.31,Europe,Estonia
Eritrean,Tuscan,0.709,3,15,0.226,43.36,11.12,Europe,Italy
Mansi,Belarus-AJ,2.542,5,14,0.382,53.9,27.57,Europe,Belarus
Spanish-Northwest,Ingush,1.626,5,9,0.324,43.52,44.58,Europe,Russia
Netherlands-AJ,Lebanese-Muslim,1.253,4,11,0.247,33.89,35.5,Asia,Lebanon
Jew-Iberian,Turk-Northwest,1.914,3,18,0.299,40.4,28.56,Asia,Turkey
Jew-Cochin,Basque-France,1.607,5,14,0.268,43,0,Europe,France
Libyan,Mordvin,1.016,5,34,0.129,54.49,44.21,Europe,Russia
French-Southeast,Bengali,0.787,5,9,0.259,23.51,89.9,Asia,Bangladesh
English-Southeast,Turk-Central,1.3,5,10,0.271,38.73,35.48,Asia,Turkey
Shaigi,Balkar,1.128,3,13,0.267,43.5,43.61,Europe,Russia
Libyan,Ingush,0.903,5,9,0.233,43.52,44.58,Europe,Russia
Brahmin,Turk-Central,0.759,3,10,0.244,38.73,35.48,Asia,Turkey
Cossack,Jew-Bulgarian,2.398,4,26,0.298,42.68,23.32,Europe,Bulgaria
Jew-Iberian,Latvia-AJ,6.303,3,7,1.129,56.95,24.1,Europe,Latvia
Afar,Libyan,1.54,5,5,0.458,32.88,13.19,Africa,Libya
Eritrean,English-Southwest,0.461,3,5,0.314,50.3,-4.9,Europe,United Kingdom
Austria-AJ,Lebanese-Christian,0.792,3,9,0.259,33.89,35.5,Asia,Lebanon
English-Southeast,Russian-Central,5.026,5,58,0.214,57.19,38.52,Europe,Russia
French-Southeast,Tajik,1.749,5,32,0.197,38.41,69.6,Asia,Tajikistan
French-Southwest,Pole,3.393,6,19,0.261,51.98,19.4,Europe,Poland
Kyrgyz-South,Russian-Central,2.089,6,58,0.131,57.19,38.52,Europe,Russia
Scot,Tabasaran,2.629,4,12,0.375,42.05,47.81,Europe,Russia
Sicilian-East,Estonian,2.696,6,16,0.259,58.45,25.31,Europe,Estonia
Kryashen,Tabasaran,2.089,3,12,0.364,42.05,47.81,Europe,Russia
Basque-Spain,Belarus-AJ,3.082,6,14,0.322,53.9,27.57,Europe,Belarus
French-Southwest,general-AJ,2.635,6,7,0.389,52.23,21.02,Europe,Poland
Jew-Iraqi,Lebanese-Muslim,1.314,6,11,0.244,33.89,35.5,Asia,Lebanon
Kyrgyz-South,Turk-Central,1.136,6,10,0.291,38.73,35.48,Asia,Turkey
Cossack,Jew-Kurdish,1.479,4,8,0.416,36.34,43.15,Asia,Iraq
Austria-AJ,Yemenite-Desert,0.768,3,27,0.172,16.48,50.03,Asia,Yemen
Algerian,Jew-Yemenite,0.86,4,7,0.297,15.35,44.2,Asia,Yemen
English-Southwest,Croat,4.695,5,14,0.442,43.63,16.84,Europe,Croatia
Spanish-Northwest,Ukraine-AJ,1.74,5,38,0.183,50.43,30.52,Europe,Ukraine
Algerian,Sardinian,1.44,4,20,0.247,40,9,Europe,Italy
Afar,Russian-Arctic,0.312,5,17,0.109,63.43,45.1,Europe,Russia
Mansi,Sindhi,1.336,5,14,0.234,25.49,69,Asia,Pakistan
Eritrean,Slovenian,0.782,3,15,0.208,46.15,15,Europe,Slovenia
Spanish-Northwest,Chechen,2.309,5,9,0.359,43.33,45.65,Europe,Russia
Netherlands-AJ,Hazara,1.136,4,11,0.248,33.5,70,Asia,Pakistan
Jew-Iberian,Egyptian,1.206,3,18,0.272,30.69,31.28,Africa,Egypt
Jew-Cochin,Croat,1.33,5,14,0.246,43.63,16.84,Europe,Croatia
Shaigi,Kabardian,0.886,3,13,0.251,43.45,43.37,Europe,Russia
French-Southeast,French-North,3.419,5,9,0.454,50.18,2.37,Europe,France
Libyan,Ukraine-AJ,1.985,5,38,0.17,50.43,30.52,Europe,Ukraine
English-Southeast,Moroccan,2.267,5,10,0.373,33.53,-7.58,Africa,Morocco
Cossack,Hungary-AJ,3.714,4,26,0.347,47.5,19.08,Europe,Hungary
Libyan,Chechen,0.878,5,9,0.305,43.33,45.65,Europe,Russia
Brahmin,Moroccan,1.005,3,10,0.362,33.53,-7.58,Africa,Morocco
Eritrean,French-Southeast,0.532,3,5,0.289,44.01,6.21,Europe,France
Jew-Iberian,Jew-Georgian,1.075,3,7,0.399,41.72,44.78,Asia,Georgia
Afar,Basque-Spain,0.38,5,6,0.182,43.13,-2.08,Europe,Spain
Austria-AJ,Bulgarian,1.58,3,9,0.377,42.16,24.74,Europe,Bulgaria
French-Southeast,Palestinian,1.379,5,33,0.152,32.13,35.04,Asia,Israel
French-Southwest,Sardinian,3.081,6,20,0.254,40,9,Europe,Italy
Sicilian-East,Russian-Arctic,2.557,6,17,0.28,63.43,45.1,Europe,Russia
Scot,Veps,6.27,4,12,0.591,61.3,35.01,Europe,Russia
French-Southwest,Jew-Yemenite,1.07,6,7,0.245,15.35,44.2,Asia,Yemen
Basque-Spain,Sindhi,1.399,6,14,0.206,25.49,69,Asia,Pakistan
Kryashen,Veps,14.817,3,12,1.128,61.3,35.01,Europe,Russia
Cossack,Jew-Iranian,1.249,4,9,0.289,35.7,51.42,Asia,Iran
Jew-Iraqi,Hazara,0.628,6,11,0.155,33.5,70,Asia,Pakistan
Kyrgyz-South,Moroccan,0.469,6,10,0.141,33.53,-7.58,Africa,Morocco
Algerian,Uzbek-West,0.851,4,8,0.272,41.55,60.63,Asia,Uzbekistan
English-Southwest,Sicilian-West,2.515,5,14,0.318,38.02,12.52,Europe,Italy
Spanish-Northwest,Russia-AJ,2.318,5,39,0.193,55.75,37.62,Europe,Russia
Algerian,Baloch,0.302,4,20,0.097,30.5,66.5,Asia,Pakistan
Shaigi,Cossack,1.294,3,4,0.64,46.4,37.03,Europe,Ukraine
Austria-AJ,Lithuania-AJ,90.638,3,27,2.074,54.68,25.32,Europe,Lithuania
Mansi,Italian-South,1.595,5,15,0.235,41.89,14.49,Europe,Italy
Afar,Karelian,0.13,5,17,0.065,60.85,32.14,Europe,Russia
Eritrean,Slovakian,1.018,3,15,0.295,48.67,19.7,Europe,Slovakia
Spanish-Northwest,Kurd,1.291,5,10,0.252,43.8,40.4,Asia,Russia
Netherlands-AJ,Kumyk,1.903,4,11,0.396,43.18,46.76,Europe,Russia
Shaigi,Belarusian,1.608,3,14,0.346,53.64,27.47,Europe,Belarus
Jew-Iberian,Komi,1.932,3,18,0.306,61.87,51.43,Europe,Russia
Jew-Cochin,Sicilian-West,0.975,5,14,0.179,38.02,12.52,Europe,Italy
French-Southeast,Ingush,1.657,5,9,0.316,43.52,44.58,Europe,Russia
Cossack,Georgian,1.633,4,26,0.22,41.96,42.06,Asia,Turkey
English-Southeast,Romanian,4.534,5,10,0.463,45.78,22.95,Europe,Romania
Libyan,Russia-AJ,1.722,5,39,0.14,55.75,37.62,Europe,Russia
Libyan,Kurd,1.987,5,10,0.459,43.8,40.4,Asia,Russia
Brahmin,Romanian,1.716,3,10,0.407,45.78,22.95,Europe,Romania
Jew-Iberian,Assyrian-Caucasus,2.063,3,7,0.429,40.21,44.34,Asia,Armenia
Eritrean,Jew-Cochin,1.106,3,5,0.559,9.97,76.28,Asia,India
Afar,Kyrgyz-South,0.181,5,6,0.13,38.11,73.86,Asia,Tajikistan
Austria-AJ,Albanian,1.563,3,9,0.367,41.32,19.82,Europe,Albania
French-Southeast,Mordvin,3.795,5,34,0.274,54.49,44.21,Europe,Russia
Mansi,Spanish-Northwest,1.719,5,5,0.592,42.5,-8.1,Europe,Spain
French-Southwest,Baloch,1.151,6,20,0.182,30.5,66.5,Asia,Pakistan
French-Southwest,Uzbek-West,0.845,6,8,0.238,41.55,60.63,Asia,Uzbekistan
Sicilian-East,Karelian,2.682,6,17,0.264,60.85,32.14,Europe,Russia
Sicilian-East,Jew-Iraqi,0.773,6,6,0.241,33.33,44.42,Asia,Iraq
Scot,Norwegian,9.135,4,12,0.666,60.32,5.81,Europe,Norway
Basque-Spain,Italian-South,3.058,6,15,0.286,41.89,14.49,Europe,Italy
Kryashen,Norwegian,4.719,3,12,0.554,60.32,5.81,Europe,Norway
Cossack,Lak,2.394,4,9,0.438,42.17,47.12,Europe,Russia
Jew-Iraqi,Kumyk,1.143,6,11,0.255,43.18,46.76,Europe,Russia
Algerian,Hemshin,0.412,4,8,0.199,41,39.7,Europe,Russia
Kyrgyz-South,Romanian,1.219,6,10,0.232,45.78,22.95,Europe,Romania
Spanish-Northwest,Bashkir,1.908,5,56,0.144,54.32,56.12,Europe,Russia
English-Southwest,Udmurt,3.623,5,14,0.366,56.43,52.66,Europe,Russia
Algerian,Swede,1.108,4,20,0.196,59.31,18,Europe,Sweden
Austria-AJ,Roman-Iberia,1.977,3,28,0.257,40.67,-3.14,Europe,Spain
Shaigi,Scot,1.48,3,4,0.541,56.04,-3.94,Europe,United Kingdom
Afar,Gujarati,0.188,5,17,0.076,23.2,72.7,Asia,India
Mansi,Tuscan,1.954,5,15,0.281,43.36,11.12,Europe,Italy
Shaigi,Basque-France,1.667,3,14,0.363,43,0,Europe,France
Eritrean,Corsican,0.482,3,16,0.164,42.04,9.01,Europe,France
Spanish-Northwest,Avar,1.148,5,10,0.29,41.93,47.33,Europe,Russia
Netherlands-AJ,Orcadian,5.431,4,11,0.809,59,-3,Europe,United Kingdom
Jew-Iberian,Azeri,1.084,3,18,0.271,40.97,47.86,Europe,Russia
Jew-Cochin,Udmurt,1.21,5,14,0.32,56.43,52.66,Europe,Russia
Cossack,Germany-AJ,2.767,4,26,0.291,52.52,13.4,Europe,Germany
French-Southeast,Chechen,1.507,5,9,0.296,43.33,45.65,Europe,Russia
English-Southeast,Saudi,2.202,5,10,0.371,19.75,43.35,Asia,Saudi Arabia
Libyan,Bashkir,0.593,5,56,0.078,54.32,56.12,Europe,Russia
Jew-Iberian,Cypriot,1.543,3,7,0.507,35.13,33.43,Europe,Cyprus
Libyan,Avar,0.774,5,10,0.211,41.93,47.33,Europe,Russia
Brahmin,Saudi,1.039,3,10,0.347,19.75,43.35,Asia,Saudi Arabia
Eritrean,Libyan,0.697,3,5,0.424,32.88,13.19,Africa,Libya
Austria-AJ,Turk-Northeast,0.771,3,9,0.238,41,39.73,Asia,Turkey
Afar,Sicilian-East,0.387,5,6,0.187,37.14,15.24,Europe,Italy
French-Southeast,Ukraine-AJ,2.891,5,38,0.223,50.43,30.52,Europe,Ukraine
Mansi,English-Southwest,4.22,5,5,0.77,50.3,-4.9,Europe,United Kingdom
French-Southwest,Swede,4.982,6,20,0.317,59.31,18,Europe,Sweden
French-Southwest,Hemshin,0.94,6,8,0.21,41,39.7,Europe,Russia
Sicilian-East,French-Southwest,2.026,6,6,0.461,43.5,-0.72,Europe,France
Scot,Abkhasian,2.038,4,12,0.317,43.04,40.93,Asia,Abkhazia
Sicilian-East,Gujarati,0.872,6,17,0.15,23.2,72.7,Asia,India
Kryashen,Abkhasian,1.515,3,12,0.323,43.04,40.93,Asia,Abkhazia
Basque-Spain,Tuscan,3.436,6,15,0.321,43.36,11.12,Europe,Italy
Cossack,Punjabi,0.746,4,9,0.214,29.89,74.48,Asia,Pakistan
Algerian,Iranian-South,0.572,4,8,0.217,27.18,56.27,Asia,Iran
Jew-Iraqi,Orcadian,1.581,6,11,0.271,59,-3,Europe,United Kingdom
English-Southwest,Belarus-AJ,2.299,5,14,0.31,53.9,27.57,Europe,Belarus
Kyrgyz-South,Saudi,0.464,6,10,0.148,19.75,43.35,Asia,Saudi Arabia
Spanish-Northwest,Spanish-Catalonia,3.141,5,57,0.177,41.68,1.66,Europe,Spain
Shaigi,Algerian,11.922,3,4,3.559,36.75,3.04,Africa,Algeria
Austria-AJ,Yemenite-Highlands,1.153,3,29,0.219,14.34,44.68,Asia,Yemen
Algerian,Brahui,0.506,4,21,0.148,30.5,66.5,Asia,Pakistan
Mansi,Slovenian,4.059,5,15,0.585,46.15,15,Europe,Slovenia
Shaigi,Croat,0.975,3,14,0.232,43.63,16.84,Europe,Croatia
Afar,Pashtun,0.226,5,17,0.085,33.49,70.5,Asia,Pakistan
Netherlands-AJ,Uyghur-North,1.643,4,11,0.311,43.95,80.86,Asia,China
Eritrean,Greek-South,0.306,3,16,0.119,37.9,23.7,Europe,Greece
Spanish-Northwest,Turk-South,1.947,5,10,0.342,37,35.32,Asia,Turkey
Jew-Cochin,Belarus-AJ,2.48,5,14,0.374,53.9,27.57,Europe,Belarus
Cossack,Tatar-Volga,8.335,4,26,0.483,54.19,52.71,Europe,Russia
Jew-Iberian,Armenian,0.971,3,18,0.209,40.2,44.39,Asia,Armenia
Jew-Iberian,Jew-Tunisian,7.829,3,7,1.339,36.8,10.18,Africa,Tunisia
English-Southeast,Portuguese,5.466,5,10,0.565,39.4,-8.22,Europe,Portugal
Austria-AJ,Russian-Northwest,2.902,3,9,0.825,57.59,28.73,Europe,Russia
French-Southeast,Kurd,0.93,5,10,0.201,43.8,40.4,Asia,Russia
Libyan,Spanish-Catalonia,1.493,5,57,0.116,41.68,1.66,Europe,Spain
Libyan,Turk-South,1.778,5,10,0.255,37,35.32,Asia,Turkey
Brahmin,Portuguese,1.491,3,10,0.338,39.4,-8.22,Europe,Portugal
Eritrean,Basque-Spain,0.943,3,6,0.496,43.13,-2.08,Europe,Spain
Afar,Jew-Iraqi,0.079,5,6,0.079,33.33,44.42,Asia,Iraq
French-Southeast,Russia-AJ,2.743,5,39,0.236,55.75,37.62,Europe,Russia
Mansi,French-Southeast,2.848,5,5,0.557,44.01,6.21,Europe,France
French-Southwest,Brahui,0.902,6,21,0.124,30.5,66.5,Asia,Pakistan
French-Southwest,Iranian-South,1.307,6,8,0.263,27.18,56.27,Asia,Iran
Sicilian-East,Jew-Moroccan,2.12,6,6,0.437,34.02,-6.84,Africa,Morocco
Sicilian-East,Pashtun,1.127,6,17,0.181,33.49,70.5,Asia,Pakistan
Scot,Icelandic,9.799,4,12,0.774,64.13,-21.93,Europe,Iceland
Basque-Spain,Slovenian,4.146,6,15,0.378,46.15,15,Europe,Slovenia
Kryashen,Icelandic,3.976,3,12,0.666,64.13,-21.93,Europe,Iceland
Algerian,Ukranian-West,0.444,4,8,0.169,50.3,25.49,Europe,Ukraine
English-Southwest,Sindhi,1.315,5,14,0.215,25.49,69,Asia,Pakistan
Cossack,Lebanese-Christian,1.406,4,9,0.299,33.89,35.5,Asia,Lebanon
Jew-Iraqi,Uyghur-North,1.167,6,11,0.249,43.95,80.86,Asia,China
Spanish-Northwest,Poland-AJ,2.31,5,57,0.168,52.25,21,Europe,Poland
Kyrgyz-South,Portuguese,0.657,6,10,0.164,39.4,-8.22,Europe,Portugal
Shaigi,Netherlands-AJ,2.021,3,4,0.846,52.35,4.92,Europe,Netherlands
Austria-AJ,Spanish-Balearic,2.186,3,29,0.261,39.33,2.37,Europe,Spain
Algerian,Uzbek-East,0.441,4,21,0.142,41.18,69.22,Asia,Uzbekistan
Shaigi,Sicilian-West,0.981,3,14,0.259,38.02,12.52,Europe,Italy
Afar,Chuvash,0.084,5,18,0.049,55.33,48.74,Europe,Russia
Mansi,Slovakian,4.892,5,15,0.577,48.67,19.7,Europe,Slovakia
